GUID,内容类型,学科,学期,学段,章节,教材节数,单元内排序,课文标题,知识点类型,知识点关键词,知识点说明,核心教学目标,对应教案文件名,确认版（文件上传）,确认版交付时间,负责人,前端录屏文件,备注,是否可上线,预计完成日期,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.1,1,相交线、邻补角与对顶角,概念定义类,相交线、邻补角、对顶角,两条直线相交形成邻补角和对顶角，掌握对顶角与邻补角的位置、数量关系,1. 能区分邻补角与对顶角并说出其性质；2. 会用对顶角、邻补角的性质进行角度计算；3. 能完成简单的几何推理,七年级_下册_第七章第 1 节_相交线、邻补角与对顶角.docx,,,丽玲,,完成、这些角，读错,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.2,2,垂线的定义,概念定义类,垂线,两条直线相交成直角时的位置关系，明确垂足概念,1. 能识别垂直关系；2. 会用符号表示垂直,七年级_下册_第七章第 1 节_垂线的定义.docx,,,丽玲,,完成,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.2,3,垂线的性质（一）：过一点有且只有一条直线与已知直线垂直,性质 / 定理类,垂线性质 （一）,理解平面内过一点（直线上 / 外）作已知直线垂线的唯一性,1. 能过一点画已知直线的垂线；2. 理解垂线的存在唯一性,七年级_下册_第七章第 1 节_垂线的性质 （一）.docx,,,丽玲,,生成内容有问题,,5.28,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.2,4,垂线的性质（二）：垂线段最短,性质 / 定理类,垂线段性质（二）、点到直线的距离,理解垂线段的性质，掌握点到直线的距离定义,1. 能说出垂线段最短的性质；2. 会用垂线段最短解释实际问题；3. 能说出点到直线的距离的概念,七年级_下册_第七章第 1 节_垂线的性质（二）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.3,5,同位角的识别,概念定义类,同位角,两条直线被第三条直线所截，位置相同的角，形如 “F” 型,1. 能在三线八角中识别同位角；2. 掌握同位角的位置特征,七年级_下册_第七章第 1 节_同位角的识别.docx,七年级_下册_第一章第 1 节_同位角的识别,5.22,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.3,6,内错角的识别,概念定义类,内错角,两条直线被第三条直线所截，在两线之间、截线两侧的角，形如 “Z” 型,1. 能在三线八角中识别内错角；2. 掌握内错角的位置特征,七年级_下册_第七章第 1 节_内错角的识别.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.1.3,7,同旁内角的识别,概念定义类,同旁内角,两条直线被第三条直线所截，在两线之间、截线同侧的角，形如 “U” 型,1. 能在三线八角中识别同旁内角；2. 掌握同旁内角的位置特征,七年级_下册_第七章第 1 节_同旁内角的识别.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.1,8,平行线的定义与表示,概念定义类,平行线,同一平面内不相交的两条直线，会用 “∥” 表示平行关系,1. 能说出平行线的定义；2. 会用符号表示两条直线平行,七年级_下册_第七章第 2 节_平行线的定义与表示.docx,七年级_下册_第七章第 2 节_平行线的定义与表示,5.22,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.1,9,平行线的基本事实及传递性,性质 / 定理类,平行线的基本事实以及推论,理解过直线外一点有且只有一条直线与已知直线平行，掌握平行线的传递性,1. 能说出平行线基本事实的内容；2. 能说出平行线传递性的推论；3. 会用符号语言表示平行基本事实及平行线传递性其推论,七年级_下册_第七章第 2 节_平行线基本事实及传递性.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.2,10,平行线的判定（一）：同位角相等，两直线平行,判定方法类,平行线判定（一）,利用同位角相等判定两条直线平行，掌握符号语言,1. 能说出判定定理；2. 会用同位角相等证明两直线平行,七年级_下册_第七章第 2 节_平行线的判定 （一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.2,11,平行线的判定（二）：内错角相等，两直线平行,判定方法类,平行线判定（二）,利用内错角相等判定两条直线平行，掌握符号语言,1. 能说出判定定理；2. 会用内错角相等证明两直线平行,七年级_下册_第七章第 2 节_平行线的判定 （二）.docx,七年级_下册_第七章第 2 节_平行线的判定(二) .docx,5.25,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.2,12,平行线的判定（三）：同旁内角互补，两直线平行,判定方法类,平行线判定（三）,利用同旁内角互补判定两条直线平行，掌握符号语言,1. 能说出判定定理；2. 会用同旁内角互补证明两直线平行,七年级_下册_第七章第 2 节_平行线的判定 （三）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.3,13,平行线的性质（一）：两直线平行，同位角相等,性质 / 定理类,平行线性质（一）,理解两直线平行时同位角的数量关系，掌握符号语言,1. 能说出性质定理；2. 会用两直线平行证明同位角相等,七年级_下册_第七章第 2 节_平行线的性质 （一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.3,14,平行线的性质（二）：两直线平行，内错角相等,性质 / 定理类,平行线性质（二）,理解两直线平行时内错角的数量关系，掌握符号语言,1. 能说出性质定理；2. 会用两直线平行证明内错角相等,七年级_下册_第七章第 2 节_平行线的性质 （二）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.2.3,15,平行线的性质（三）：两直线平行，同旁内角互补,性质 / 定理类,平行线性质（三）,理解两直线平行时同旁内角的数量关系，掌握符号语言,1. 能说出性质定理；2. 会用两直线平行证明同旁内角互补,七年级_下册_第七章第 2 节_平行线的性质 （三）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.3,16,定义的概念,概念定义类,定义,明确数学中定义的作用，能区分定义与命题,1. 能说出定义的含义；2. 会识别数学中的定义语句,七年级_下册_第七章第 3 节_定义的概念.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.3,17,命题及其组成,概念定义类,真命题与假命题,判断一件事情的语句，由题设和结论两部分组成，理解命题的真假，会举反例判断假命题,1. 会区分命题的题设和结论2.能区分真命题与假命题；2. 会用反例说明假命题,七年级_下册_第七章第 3 节_命题及其组成.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.3,18,定理与证明,概念定义类,定理与证明,经过推理证实的真命题为定理，推理的过程叫做证明, 能说出定理与证明的定义,七年级_下册_第七章第 3 节_定理与证明.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.4,19,平移的定义,概念定义类,平移,图形沿某一方向移动一定距离的运动，形状大小不变,1. 能说出平移的定义；2. 会识别平移现象,七年级_下册_第七章第 4 节_平移的定义.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.4,20,平移的性质（一）：平移前后图形全等,性质 / 定理类,平移性质 （一）,理解平移不改变图形的形状和大小，对应线段、角相等,1. 能说出平移的性质；2. 会判断平移前后的对应元素,七年级_下册_第七章第 4 节_平移的性质 （一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第七章 相交线与平行线,7.4,21,平移的性质（二）：对应点连线平行（或共线）且相等,性质 / 定理类,平移性质 （二）,理解平移后对应点连线的位置与数量关系,1. 能说出平移的性质；2. 会画平移后的图形,七年级_下册_第七章第 4 节_平移的性质 （二）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.1,1,平方根的定义,概念定义类,平方根,若 x²=a，则 x 叫 a 的平方根，记作 ±√a,1. 能说出平方根的定义；2. 会用符号表示平方根,七年级_下册_第八章第 1 节_平方根的定义.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.1,2,平方根的性质,性质 / 定理类,平方根性质,正数有两个互为相反数的平方根，0 的平方根是 0，负数无平方根,1. 能说出平方根的性质；2. 会求正数的平方根,七年级_下册_第八章第 1 节_平方根的性质.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.1,3,算术平方根的定义,概念定义类,算术平方根,若 x²=a（x≥0），则 x 叫 a 的算术平方根，记作√a,1. 能说出算术平方根的定义；2. 会用符号表示算术平方根,七年级_下册_第八章第 1 节_算术平方根的定义.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.1,4,算术平方根的性质,性质 / 定理类,算术平方根性质,理解√a 的双重非负性（a≥0，√a≥0）,1. 能说出算术平方根的性质；2. 会求非负数的算术平方根,七年级_下册_第八章第 1 节_算术平方根的性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.1,5,开平方运算,运算法则类,开平方,求一个数的平方根的运算，与平方互为逆运算,1. 能说出开平方的定义；2. 会用开平方求非负数的平方根,七年级_下册_第八章第 1 节_开平方运算.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.2,6,立方根的定义,概念定义类,立方根,若 x³=a，则 x 叫 a 的立方根，记作∛a,1. 能说出立方根的定义；2. 会用符号表示立方根,七年级_下册_第八章第 2 节_立方根的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.2,7,立方根的性质,性质 / 定理类,立方根性质,正数的立方根是正数，负数的立方根是负数，0 的立方根是 0,1. 能说出立方根的性质；2. 会求一个数的立方根,七年级_下册_第八章第 2 节_立方根的性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.2,8,开立方运算,运算法则类,开立方,求一个数的立方根的运算，与立方互为逆运算,1. 能说出开立方的定义；2. 会用开立方求数的立方根,七年级_下册_第八章第 2 节_开立方运算.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.3,9,无理数的定义,概念定义类,无理数,无限不循环小数，如√2、π 等,1. 能说出无理数的定义；2. 会区分有理数与无理数,七年级_下册_第八章第 3 节_无理数的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.3,10,实数的定义与分类,概念定义类,实数,有理数和无理数的统称，会按定义和正负分类,1. 能说出实数的定义；2. 会对实数进行分类,七年级_下册_第八章第 3 节_实数的定义与分类.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.3,11,实数在数轴上的表示,性质 / 定理类,实数与数轴,理解实数与数轴上的点的一一对应关系,1. 能说出对应关系；2. 会在数轴上表示简单无理数,七年级_下册_第八章第 3 节_实数在数轴上的表示.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.3,12,实数的相反数与绝对值,概念定义类,实数的相反数与绝对值,实数 a 的相反数是 - a，绝对值与有理数一致,1. 能说出实数相反数、绝对值的定义；2. 会求实数的相反数与绝对值,七年级_下册_第八章第 3 节_实数的相反数与绝对值.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第八章 实数,8.3,13,实数的运算,运算法则类,实数的加减乘除运算,理解有理数的运算法则、运算律在实数范围内仍适用,1. 能说出实数的运算法则；2. 会进行简单的实数加减乘除运算,七年级_下册_第八章第 3 节_实数的运算.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第九章 平面直角坐标系,9.1.1,1,平面直角坐标系的建立,概念定义类,有序数对、平面直角坐标系、点的坐标,理解有序数对的定义，掌握平面直角坐标系的组成（x 轴、y 轴、原点、象限），理解点的坐标定义,1. 能说出有序数对的定义；2. 能说出平面直角坐标系的组成；3. 会写平面内点的坐标,七年级_下册_第九章第 1 节_平面直角坐标系的建立.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第九章 平面直角坐标系,9.1.1,2,象限的划分与点的坐标特征,性质 / 定理类,象限内点的坐标特征、坐标轴上点的坐标特征,理解各象限内点（+，+）（-，+）（-，-）（+，-）的符号特征，以及坐标轴上点的坐标特征（x 轴上 y=0，y 轴上 x=0）,1. 能说出各象限和坐标轴上点的坐标特征；2. 会根据点的坐标判断所在位置；3. 会根据位置写出点的坐标,七年级_下册_第九章第 1 节_象限的划分与点的坐标特征.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第九章 平面直角坐标系,9.1.2,3,用坐标描述简单几何图形,方法 / 步骤类,用坐标描述图形,理解建立平面直角坐标系，用坐标描述简单几何图形的步骤,1. 能说出步骤；2. 会用坐标描述简单几何图形,七年级_下册_第九章第 2 节_用坐标描述简单几何图形.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第九章 平面直角坐标系,9.2.1,4,用坐标表示地理位置,方法 / 步骤类,用坐标表示位置,建立平面直角坐标系，确定原点、单位长度，用坐标表示位置,1. 能说出步骤；2. 会用坐标表示简单地理位置,七年级_下册_第九章第 2 节_用坐标表示地理位置.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第九章 平面直角坐标系,9.2.2,5,用坐标表示平移,性质 / 定理类,点的平移坐标变化,左右平移改变横坐标，上下平移改变纵坐标，规律：左减右加，上加下减,1. 能说出点平移的坐标变化规律；2. 会求平移后点的坐标3. 能说出图形平移的坐标变化规律；4. 会画平移后的图形并写出对应点坐标,七年级_下册_第九章第 2 节_用坐标表示平移.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.1,1,二元一次方程的定义,概念定义类,二元一次方程,含有两个未知数，且含未知数的项的次数都是 1 的整式方程,1. 能说出二元一次方程的定义；2. 会判断方程是否为二元一次方程,七年级_下册_第十章第 1 节_二元一次方程的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.1,2,二元一次方程的解,概念定义类,二元一次方程的解,使二元一次方程两边相等的两个未知数的值，有无数组解,1. 能说出二元一次方程解的定义；2. 会检验一对数是否为方程的解,七年级_下册_第十章第 1 节_二元一次方程的解.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.1,3,二元一次方程组的定义,概念定义类,二元一次方程组,含有两个未知数，且含未知数的项的次数都是 1 的方程组,1. 能说出二元一次方程组的定义；2. 会判断是否为二元一次方程组,七年级_下册_第十章第 1 节_二元一次方程组的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.1,4,二元一次方程组的解,概念定义类,二元一次方程组的解,使方程组中两个方程都成立的两个未知数的值,1. 能说出方程组解的定义；2. 会检验一对数是否为方程组的解,七年级_下册_第十章第 1 节_二元一次方程组的解.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.2.1,5,消元思想,方法类,消元思想,理解消元思想（将二元转化为一元）,能说出消元思想,七年级_下册_第十章第 2 节_消元思想.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.2.1,6,代入消元法,方法 / 步骤类,代入消元法,将一个方程变形，代入另一个方程消元，转化为一元一次方程,1. 能说出代入消元法的步骤；2. 会用代入消元法解简单方程组,七年级_下册_第十章第 2 节_代入消元法.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.2.2,7,加减消元法,方法 / 步骤类,加减消元法,通过两方程相加或相减消去一个未知数，转化为一元一次方程,1. 能说出加减消元法的步骤；2. 会用加减消元法解简单方程组,七年级_下册_第十章第 2 节_加减消元法.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.3,8,实际问题与二元一次方程组,方法 / 步骤类,列二元一次方程组解应用题,掌握列二元一次方程组解应用题的步骤（审、设、列、解、验、答）,1. 能说出步骤；2. 会根据实际问题列二元一次方程组并求解,七年级_下册_第十章第 3 节_实际问题与二元一次方程组.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.4,9,三元一次方程组的定义,概念定义类,三元一次方程组,含有三个未知数，且含未知数的项的次数都是 1 的方程组,1. 能说出三元一次方程组的定义；2. 会判断是否为三元一次方程组,七年级_下册_第十章第 4 节_三元一次方程组的定义.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,10.4,10,三元一次方程组的解法,概念定义类 / 方法步骤类,三元一次方程组的解法,掌握消元法解三元一次方程组的思路（三元→二元→一元）,会用消元法将三元转化为二元、一元求解；3. 会解简单的三元一次方程组,七年级_下册_第十章第 4 节_三元一次方程组的解法.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,图说数学史,11,解多元一次方程组,方法 / 步骤类,多元一次方程组的解法,理解多元一次方程组的消元思路，掌握逐步消元的方法,1. 能说出多元一次方程组的解法思路；2. 会用消元法解简单的多元一次方程组,七年级_下册_第十章第 4 节_解多元一次方程组.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十章 二元一次方程组,数学活动,12,二元一次方程的“图像”,方法 / 步骤类,二元一次方程的“图像”,二元一次方程的图像特征 理解二元一次方程与一次函数图像的对应关系,1. 理解二元一次方程的图像是一条直线；2. 掌握通过取值描点绘制二元一次方程图像的方法,七年级_下册_第十章第 4 节_二元一次方程的“图像”.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.1.1,1,不等式的定义,概念定义类,不等式,用不等号（>、<、≥、≤、≠）表示不等关系的式子,1. 能说出不等式的定义；2. 会用不等号表示数量关系,七年级_下册_第十一章第 1 节_不等式的定义.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.1.1,2,不等式的解与解集,概念定义类,不等式的解与解集,使不等式成立的未知数的值是解，所有解组成解集,1. 能说出解与解集的定义；2. 会检验解、用数轴表示解集,七年级_下册_第十一章第 1 节_不等式的解与解集.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.1.2,3,不等式的性质（一）,性质 / 定理类,不等式性质（一）,不等式两边加（或减）同一个数（或式子），不等号方向不变,1. 能说出性质；2. 会用性质进行不等式变形,七年级_下册_第十一章第 1 节_不等式的性质（一）.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.1.2,4,不等式的性质（二）,性质 / 定理类,不等式性质（二）,不等式两边乘（或除以）同一个正数，不等号方向不变,1. 能说出性质；2. 会用性质进行不等式变形,七年级_下册_第十一章第 1 节_不等式的性质（二）.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.1.2,5,不等式的性质 （三）,性质 / 定理类,不等式性质（三）,不等式两边乘（或除以）同一个负数，不等号方向改变,1. 能说出性质；2. 会用性质进行不等式变形,七年级_下册_第十一章第 1 节_不等式的性质 3.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,阅读与理解,6,用求差法比较大小,方法 / 步骤类,求差法比较大小,掌握用求差法比较两个数（或式子）大小的方法（作差、变形、判断符号、得出结论）,1. 能说出求差法的步骤；2. 会用求差法比较两个数或式子的大小,七年级_下册_第十一章第 2 节_用求差法比较大小.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.2,7,一元一次不等式的定义,概念定义类,一元一次不等式,含有一个未知数，未知数次数为 1 的不等式,1. 能说出定义；2. 会判断是否为一元一次不等式,七年级_下册_第十一章第 2 节_一元一次不等式的定义.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.2,8,解一元一次不等式,方法 / 步骤类,解一元一次不等式,掌握解一元一次不等式的步骤（去分母、去括号、移项、合并同类项、系数化为 1）,1. 能说出步骤；2. 会解一元一次不等式并在数轴上表示解集,七年级_下册_第十一章第 2 节_解一元一次不等式.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.2,9,一元一次不等式的应用,方法 / 步骤类,一元一次不等式的应用,掌握列一元一次不等式解应用题的步骤，会解决实际问题,1. 能说出步骤；2. 会根据实际问题列一元一次不等式并求解,七年级_下册_第十一章第 2 节_一元一次不等式的应用.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.3,10,一元一次不等式组的定义,概念定义类,一元一次不等式组,含有同一个未知数的几个一元一次不等式组成的组,1. 能说出定义；2. 会判断是否为一元一次不等式组,七年级_下册_第十一章第 3 节_一元一次不等式组的定义.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,11.3,11,解一元一次不等式组,方法 / 步骤类,解一元一次不等式组,掌握解一元一次不等式组的步骤（分别解不等式，找公共部分）,1. 能说出步骤；2. 会解一元一次不等式组；3. 会用数轴确定不等式组的解集,七年级_下册_第十一章第 3 节_解一元一次不等式组.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,七年级,第十一章 不等式与不等式组,数学活动,12,一元一次不等式组的应用,方法 / 步骤类,一元一次不等式组的应用,掌握列一元一次不等式组解应用题的方法，会解决实际问题,1. 能说出步骤；2. 会根据实际问题列一元一次不等式组并求解；3. 会检验结果是否符合实际意义,七年级_下册_第十一章第 3 节_一元一次不等式组的应用.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
