GUID,内容类型,学科,学期,学段,章节,教材节数,单元内排序,课文标题,知识点类型,知识点关键词,知识点说明,核心教学目标,对应教案文件名,确认版（文件上传）,确认版交付时间,负责人,前端录屏文件,备注,是否可上线,预计完成日期,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.1,2,正比例函数的定义,概念定义类,正比例函数的定义,形如y=kx（k是常数，k=0）的函数叫作正比例函数，k叫作比例系数,"1. 理解正比例函数的定义；
2. 能判断一个函数是否为正比例函数；
3. 能根据条件求正比例函数解析式",八年级_下册_第二十三章第 1 节_正比例函数的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.2,3,正比例函数的图象与性质,性质/定理类,正比例函数的图象与性质,正比例函数y=kx的图象是过原点的直线，k>0时图象过一、三象限，y随x增大而增大；k<0时过二、四象限，y随x增大而减小,"1. 掌握正比例函数的图象特征；
2. 掌握正比例函数的增减性；
3. 能根据k的符号判断函数性质",八年级_下册_第二十三章第 2 节_正比例函数的图象与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.2,4,一次函数的图象与性质,性质/定理类,一次函数的图象与性质,一次函数y=kx+b的图象是一条直线，可由y=kx平移得到，k>0时y随x增大而增大，k<0时y随x增大而减小,"1. 掌握一次函数的图象特征；
2. 掌握一次函数的增减性；
3. 理解k,b对图象位置的影响",八年级_下册_第二十三章第 2 节_一次函数的图象与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.2,5,待定系数法求一次函数解析式,公式类,待定系数法求一次函数解析式,先设出函数解析式，再根据条件确定解析式中未知系数，从而得出函数解析式的方法叫作待定系数法,"1. 理解待定系数法的原理；
2. 掌握用待定系数法求一次函数解析式的步骤；
3. 能根据两点坐标求一次函数解析式",八年级_下册_第二十三章第 2 节_待定系数法求一次函数解析式.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.3,6,一次函数与一元一次方程,公式类,一次函数与一元一次方程,解一元一次方程ax+b=0相当于求一次函数y=ax+b的函数值为 0 时自变量x的值,"1. 理解一次函数与一元一次方程的关系；
2. 能利用一次函数图象解一元一次方程；
3. 体会数形结合的思想",八年级_下册_第二十三章第 3 节_一次函数与一元一次方程.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.3,7,一次函数与一元一次不等式,公式类,一次函数与一元一次不等式,解一元一次不等式ax+b>0（或<0）相当于求一次函数y=ax+b的函数值大于 0（或小于 0）时自变量x的取值范围,1. 理解一次函数与一元一次不等式的关系；2. 能利用一次函数图象解一元一次不等式；3. 能从图象中获取不等式的解集,八年级_下册_第二十三章第 3 节_一次函数与一元一次不等式.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.3,8,一次函数与二元一次方程组,⽅法步骤类,一次函数与二元一次方程组,解二元一次方程组相当于求两个一次函数图象的交点坐标，交点的横、纵坐标即为方程组的解,1. 理解一次函数与二元一次方程组的关系；2. 能利用一次函数图象解二元一次方程组；3. 体会数形结合的思想,八年级_下册_第二十三章第 3 节_一次函数与二元一次方程组.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十三章 一次函数,23.4,9,实际问题与一次函数,⽅法步骤类,实际问题与一次函数,利用一次函数的性质，比较不同方案的函数值大小，包括建立函数模型，结合实际确定自变量取值范围，从而选择最优方案的问题,"1. 能将实际方案问题转化为一次函数模型；
2. 能运用一次函数性质进行方案选择；
3. 体会函数在实际决策中的应用",八年级_下册_第二十三章第 4 节_实际问题与一次函数.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.1.1,1,平均数与加权平均数,公式类,平均数与加权平均数,"若n个数x1,x2​,…,xn的权分别为w1,w2,…,wn，则x=w1+w2+⋯+wn​x1​w1​+x2​w2​+⋯+xn​wn叫作加权平均数","1. 理解平均数与加权平均数的定义；
2. 能计算一组数据的平均数与加权平均数；
3. 理解“权”的意义和作用",八年级_下册_第二十四章第 1 节_平均数与加权平均数.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.1.2,2,中位数,概念定义类,中位数,将一组数据按从小到大（或从大到小）的顺序排列，处于中间位置的数叫作这组数据的中位数,"1. 理解中位数的定义；
2. 能计算一组数据的中位数；
3. 体会中位数反映数据的中间水平",八年级_下册_第二十四章第 1 节_中位数.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.1.2,3,众数,概念定义类,众数,一组数据中出现次数最多的数据叫作这组数据的众数，一组数据可以有多个众数或没有众数,"1. 理解众数的定义；
2. 能找出一组数据的众数；
3. 体会众数反映数据的集中趋势",八年级_下册_第二十四章第 1 节_众数.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.2,4,方差,概念定义类,方差,一组数据中各数据与平均数的差的平方的平均数，即s2=n1[(x1−x)2+(x2−x)2+⋯+(xn−x)2],"1. 理解方差的定义；
2. 能计算一组数据的方差；
3. 能根据方差判断数据的离散程度",八年级_下册_第二十四章第 2 节_方差.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.3,5,四分位数,概念定义类,四分位数,将一组数据按从小到大排列后，处于 25%、50%、75% 位置的数，分别叫作第一、第二、第三四分位数,"1. 理解四分位数的定义；
2. 能计算一组数据的四分位数；
3. 体会四分位数反映数据的分布情况",八年级_下册_第二十四章第 3 节_四分位数.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.3,6,箱线图,概念定义类,箱线图,由一组数据的最小值、第一四分位数、中位数、第三四分位数、最大值绘制的统计图，用于展示数据的分布,"1. 理解箱线图的构成；
2. 能绘制简单的箱线图；
3. 能从箱线图中获取数据的分布信息",八年级_下册_第二十四章第 3 节_箱线图.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,八年级,第二十四章 数据的分析,24.4,7,组内、组间离差平方和,概念定义类,组内、组间离差平方和,将数据分组后，用于分析数据离散程度来源的两个统计量。组内离差平方和是每组数据的离差平方和的总和，反映各组内部数据的离散程度；组间离差平方和是各组平均数与总体平均数的差的平方乘以各组频数的总和，反映不同组之间数据的差异程度,"1. 理解组内、组间离差平方和的定义；
2. 能计算分组数据的组内、组间离差平方和；
3. 体会其在数据分组中的作用",八年级_下册_第二十四章第 4 节_组内离差平方和.docx,,,聪慧,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.1.1,1,反比例函数的定义与解析式,概念定义类,定义与解析式,形如y=xk​（k为常数，k=0）的函数，x为自变量，用待定系数法，代入已知点坐标求k的值,1. 能说出反比例函数的定义；2. 会判断函数是否为反比例函数3. 能说出待定系数法的步骤；4. 会求反比例函数的解析式,九年级_下册_第二十六章第 1 节_反比例函数的定义与解析式.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.1.2,3,反比例函数的图象,方法 / 步骤类,反比例函数图象画法,用描点法画反比例函数的双曲线图象,1. 能说出描点法的步骤；2. 会画简单反比例函数的图象,九年级_下册_第二十六章第 1 节_反比例函数的图象画法.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.1.2,4,反比例函数的性质（k>0）,性质 / 定理类,反比例函数性质（k>0）,k>0时，图象位于一、三象限，在每个象限内y随x增大而减小,1. 能说出k>0时的性质；2. 会根据性质判断函数变化趋势,九年级_下册_第二十六章第 1 节_反比例函数的性质 k>0.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.1.2,5,反比例函数的性质（k<0）,性质 / 定理类,反比例函数性质（k<0）,k<0时，图象位于二、四象限，在每个象限内y随x增大而增大,1. 能说出k<0时的性质；2. 会根据性质判断函数变化趋势,九年级_下册_第二十六章第 1 节_反比例函数的性质 k<0.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,信息技术应用,6,探索反比例函数的性质（对称性）,实践探究类,反比例函数对称性,借助信息技术探究反比例函数图像对称特点，掌握中心对称、轴对称规律,1. 熟知反比例函数图像对称特征；2. 能利用对称性解题,九年级_下册_第二十六章第 1 节_探索反比例函数的性质（对称性）.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,信息技术应用,7,探索反比例函数的性质（|k | 值的大小与图像的关系）,实践探究类,|k | 大小,反比例函数图像 借助信息技术探究 | k | 取值大小，对反比例函数图像弯曲程度以及分布情况产生的影响,1. 明确 | k | 大小和反比例函数图像之间的联系；2. 学会根据图像判断 | k | 的大小,九年级_下册_第二十六章第 1 节_探索反比例函数的性质（|k | 值的大小与图像的关系）.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,26.2,7,反比例函数在实际问题中的应用,方法 / 步骤类,反比例函数的应用,根据实际问题中的等量关系，建立反比例函数关系,1. 能说出解决问题步骤；2. 会列简单反比例函数解决实际问题,九年级_下册_第二十六章第 2 节_反比例函数在实际问题中的应用.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十六章 反比例函数,阅读与思考,8,生活中的反比例关系,阅读与思考类,生活中的反比例关系,了解生活中常见的反比例关系实例，感受反比例函数的实际意义,1. 能说出生活中反比例关系的例子；2. 会用反比例函数解释生活现象,九年级_下册_第二十六章第 2 节_生活中的反比例关系.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.1,1,相似图形的定义,概念定义类,相似图形定义,形状相同的图形叫做相似图形，大小不一定相同,1. 能说出相似图形的定义；2. 会判断两个图形是否相似,九年级_下册_第二十七章第 1 节_相似图形的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.1,2,相似多边形的定义与性质,性质 / 定理类,相似多边形性质,对应角相等，对应边成比例，相似比为对应边的比,1. 能说出相似多边形的定义；2. 会用性质进行简单计算,九年级_下册_第二十七章第 1 节_相似多边形的定义与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.1,3,相似三角形的定义与相似比,概念定义类,相似三角形定义,对应角相等，对应边成比例的三角形，相似比为对应边的比,1. 能说出相似三角形的定义；2. 会计算相似比,九年级_下册_第二十七章第 2 节_相似三角形的定义与相似比.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.1,4,平行线分线段成比例,性质 / 定理类,平行线分线段成比例,两条直线被一组平行线所截，所得的对应线段成比例,1. 能说出定理内容；2. 会用定理判断线段是否成比例,九年级_下册_第二十七章第 2 节_平行线分线段成比例.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.1,5,相似三角形的判定定理（一）,判定方法类,相似三角形的判定定理（一）,平行于三角形一边的直线截其他两边，所得三角形与原三角形相似,1. 能说出判定定理；2. 会用该定理判定三角形相似,九年级_下册_第二十七章第 2 节_相似三角形的判定定理 （一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.1,8,相似三角形的判定定理（二）,判定方法类,相似三角形的判定定理（二）,三边成比例的两个三角形相似,1. 能说出判定定理；2. 会用三边成比例判定三角形相似,九年级_下册_第二十七章第 2 节_相似三角形的判定定理 （二）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.1,7,相似三角形的判定定理（三）,判定方法类,相似三角形的判定定理（三）,两边成比例且夹角相等的两个三角形相似,1. 能说出判定定理；2. 会用该定理判定三角形相似,九年级_下册_第二十七章第 2 节_相似三角形的判定定理 （三）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.1,6,相似三角形的判定定理（四）,判定方法类,相似三角形的判定定理（四）,两角分别相等的两个三角形相似,1. 能说出判定定理；2. 会用两角相等判定三角形相似,九年级_下册_第二十七章第 2 节_相似三角形的判定定理 （四）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.2,9,相似三角形的性质 （一）,性质 / 定理类,相似三角形性质（一）,相似三角形对应高、中线、角平分线的比等于相似比,1. 能说出性质；2. 会用性质进行线段长度计算,九年级_下册_第二十七章第 2 节_相似三角形的性质 （一）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.2,10,相似三角形的性质 （二）,性质 / 定理类,相似三角形性质（二）,相似三角形的周长比等于相似比,1. 能说出性质；2. 会用性质进行周长计算,九年级_下册_第二十七章第 2 节_相似三角形的性质 （二）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.2,11,相似三角形的性质 （三）,性质 / 定理类,相似三角形性质（三）,相似三角形的面积比等于相似比的平方,1. 能说出性质；2. 会用性质进行面积计算,九年级_下册_第二十七章第 2 节_相似三角形的性质 （三）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.2.3,12,相似三角形应用举例,方法 / 步骤类,相似三角形的应用,利用相似三角形解决实际测量、计算问题,1. 能说出应用的基本思路；2. 会用相似三角形解决简单实际问题,九年级_下册_第二十七章第 2 节_相似三角形应用举例.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,观察与猜想,13,奇妙的分形图形,拓展阅读类,分形图形、相似拓展,了解分形图形基本特点，感受相似图形在分形图案当中的运用,1. 认识常见分形图形；2. 体会相似在图形领域的延伸应用,九年级_下册_第二十七章第 4 节_奇妙的分形图形.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.3,12,位似图形的定义与性质,概念定义类 / 性质定理类,位似图形定义、位似图形性质,两个图形不仅相似，且对应顶点连线相交于一点，对应边平行；位似图形上任意一对对应点到位似中心的距离之比等于位似比,1. 能说出位似图形的定义；2. 会判断两个图形是否位似；3. 会利用性质进行计算,九年级_下册_第二十七章第 3 节_位似图形的定义与性质.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.3,14,图形的放大与缩小,方法 / 步骤类,位似图形画法,以某点为位似中心，按一定比例放大或缩小图形,1. 能说出位似图形的画法步骤；2. 会画简单的位似图形,九年级_下册_第二十七章第 3 节_图形的放大与缩小.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十七章 相似,27.3,15,直角坐标系中位似图形的坐标表示,性质 / 定理类,坐标系中的位似变换,以原点为位似中心，相似比为k，对应点坐标为原坐标的k或−k倍,1. 能说出坐标变化规律；2. 会求位似变换后点的坐标,九年级_下册_第二十七章第 3 节_直角坐标系中位似图形的坐标表示.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十八章 锐角三角函数,28.1,1,锐角三角函数（正弦、余弦、正切）,概念定义类,正弦的定义、余弦的定义、正切的定义,掌握正弦值、余弦值、正切值的计算方法,1. 能说出正弦、余弦、正切的定义；2. 会计算锐角的正弦值、余弦值、正切值。,九年级_下册_第二十七章第 3 节_锐角三角函数（正弦、余弦、正切）.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十八章 锐角三角函数,28.1,2,特殊角（30°、45°、60°）的三角函数值,性质 / 定理类,特殊角三角函数值,掌握 30°、45°、60° 角的正弦、余弦、正切值,1. 能说出特殊角的三角函数值；2. 会利用特殊值进行计算,九年级_下册_第二十八章第 1 节_特殊角的三角函数值.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十八章 锐角三角函数,28.1,3,用计算器求锐角三角函数值,方法 / 步骤类,用计算器求三角函数值,掌握用计算器求锐角三角函数值及由值求锐角的方法,1. 能说出操作步骤；2. 会用计算器进行相关计算,九年级_下册_第二十八章第 1 节_用计算器求锐角三角函数值.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十八章 锐角三角函数,28.1,4,锐角三角函数之间的关系,概念定义类,锐角三角函数之间的关系,清楚锐角三角函数之间的关系互余，平方，倒数，商数,清楚锐角三角函数之间的关系,九年级_下册_第二十八章第 1 节_锐角三角函数之间的关系.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十八章 锐角三角函数,28.2.1,5,解直角三角形,概念定义类,解直角三角形定义和依据,勾股定理、两锐角互余、锐角三角函数关系,1. 能说出解直角三角形的定义；2. 能说出解直角三角形的依据；3. 会选择合适的依据解题,九年级_下册_第二十八章第 2 节_解直角三角形.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十八章 锐角三角函数,28.2.1,6,解直角三角形的常见类型及解法,方法 / 步骤类,解直角三角形步骤,类型分为两边（两直角边，斜边和一直角边）一边一角（一直角边和一锐角，斜边和锐角）对应题型讲解法。,1. 能说出解直角三角形的步骤；2. 会解简单的直角三角形,九年级_下册_第二十八章第 2 节_解直角三角形的常见类型及解法.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十八章 锐角三角函数,阅读与思考,7,坡度、坡角的定义与应用,概念定义类,坡度坡角定义,坡面的垂直高度与水平宽度的比为坡度，坡面与水平面的夹角为坡角,1. 能说出坡度坡角的定义；2. 会用解直角三角形解决坡度问题,九年级_下册_第二十八章第 2 节_坡度坡角的定义与应用.docx,,,丽玲,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十八章 锐角三角函数,数学活动,8,仰角、俯角的定义与应用,概念定义类,仰角俯角定义,视线在水平线上方的角为仰角，下方的为俯角，用于测量问题,1. 能说出仰角俯角的定义；2. 会用解直角三角形解决仰角俯角问题,九年级_下册_第二十八章第 2 节_仰角俯角的定义与应用.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十九章 投影与视图,29.1,1,投影的定义,概念定义类,投影定义,用光线照射物体，在某个平面上得到的影子叫做物体的投影,1. 能说出投影的定义；2. 会识别投影现象,九年级_下册_第二十九章第 1 节_投影的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十九章 投影与视图,29.1,2,平行投影的定义与性质,性质 / 定理类,平行投影性质,由平行光线形成的投影，如太阳光下的影子，投影线平行,1. 能说出平行投影的定义；2. 会判断平行投影,九年级_下册_第二十九章第 1 节_平行投影的定义与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十九章 投影与视图,29.1,3,中心投影的定义与性质,性质 / 定理类,中心投影性质,由同一点发出的光线形成的投影，如灯光下的影子，投影线交于一点,1. 能说出中心投影的定义；2. 会判断中心投影,九年级_下册_第二十九章第 1 节_中心投影的定义与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十九章 投影与视图,29.1,4,正投影的定义与性质,性质 / 定理类,正投影性质,投影线垂直于投影面产生的投影，物体的正投影与物体形状有关,1. 能说出正投影的定义；2. 会判断物体的正投影形状,九年级_下册_第二十九章第 1 节_正投影的定义与性质.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十九章 投影与视图,29.2,5,三视图的定义,概念定义类,三视图定义,主视图、俯视图、左视图的统称，分别从正面、上面、左面看物体得到的视图,1. 能说出三视图的定义；2. 会识别简单几何体的三视图,九年级_下册_第二十九章第 2 节_三视图的定义.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十九章 投影与视图,29.2,6,三视图的画法规则,方法 / 步骤类,三视图画法规则,长对正、高平齐、宽相等,1. 能说出三视图的画法规则；2. 会根据规则画简单几何体的三视图,九年级_下册_第二十九章第 2 节_三视图的画法规则.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,数学,数学,下册,九年级,第二十九章 投影与视图,29.2,7,由三视图还原几何体,方法 / 步骤类,由三视图还原几何体,根据三视图的形状，想象几何体的形状，还原立体图形,1. 能说出还原步骤；2. 会根据简单三视图还原几何体,九年级_下册_第二十九章第 2 节_由三视图还原几何体.docx,,,晓静,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,