guid,序号,课文标题,故事类型,故事含义,课文正文,故事寓意道理,内容类型,上线TAB,内容性质,一句话介绍,学名·确认版,钩子·确认版,url·确认版
9e9851ae22fc4bd1ad2fdc19337b624a,1,郑人买履,成语故事,比喻做事死板教条，只相信书本不相信实际。,郑国有一个人想买一双新鞋子。出门之前他非常认真地用一根绳子量好了自己脚的尺寸，然后把绳子小心翼翼地放在座位上就出发了。他走了很远的路来到集市上，找到了一家鞋店，挑了一双很满意的鞋子。正要买的时候他一摸口袋，发现忘了把那根量好尺寸的绳子带来了。他赶紧对鞋店老板说：'等等，我忘了带尺寸了，我得回家去拿。'说完他急匆匆地往家跑。等他气喘吁吁地拿着绳子赶回集市的时候，集市早就散了，鞋店也关了门，鞋子当然没买成。旁边的人知道了这件事非常不解地问他：'你为什么不直接用自己的脚去试穿鞋子呢？'那个人一本正经地回答说：'我宁可相信量好的尺寸，也不相信自己的脚。',做事要从实际出发，灵活变通。不能迷信教条和书本知识而忽视了最直接的客观事实。,故事,趣学成语,新增内容,宁可相信尺码也不信自己的脚？,郑人买履,宁可信尺码，也不信脚？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_86b639b69c723cee139bb775567703ee.jpg
00d42b5c0d7c44c7915eb5bce3078cd1,2,叶公好龙,成语故事,比喻口头上说喜欢某事物，实际上并不是真的喜欢。,春秋时期有一位楚国的贵族叫叶公，他特别喜欢龙。他家里到处都装饰着龙的图案——墙上画着龙，柱子上刻着龙，窗户上雕着龙，就连衣服上、被子上都绣着龙。他逢人就说：'我最喜欢龙了！龙是世界上最威武最美丽的神物！'天上的真龙听到了叶公对自己的热爱非常感动，心想：'人间居然有这么喜欢我的人，我应该下去看看他，让他高兴高兴。'于是真龙驾着祥云从天而降，来到叶公的家中。真龙把头伸进窗户里看叶公，把尾巴搭在了客厅的地板上。叶公一看到真龙，顿时吓得魂飞魄散、面如土色，撒腿就跑，连鞋子都跑掉了。原来叶公喜欢的并不是真正的龙，而是那些画在墙上、刻在柱子上的假龙。,口头上的喜爱和真正的热爱是两回事。做人要表里如一，不能像叶公好龙一样言行不一。,故事,趣学成语,新增内容,他说爱龙，真龙来了却吓跑,叶公好龙,天天喊爱龙，真龙来了却跑？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_0fbbad1d8a25b2108c692c88ebd861d1.jpg
41241af353e642ae806db488c7e389e1,3,邯郸学步,成语故事,比喻模仿别人不成，反而丧失了自己原有的本领。,战国时期，赵国的都城邯郸是当时最繁华的城市之一，那里的人们走路的姿态特别优美潇洒，天下闻名。燕国有一个年轻人听说邯郸人走路好看极了，非常羡慕，下定决心要到邯郸去学习他们走路的姿势。他千里迢迢来到邯郸后，一上街就开始仔细观察当地人走路的样子——年轻人走路轻快有力他就学，老年人走路稳重大方他也学，女人走路婀娜多姿他还学。他一会儿学这个人的步伐，一会儿学那个人的摆臂，一会儿又换一种新的走法。学了好几个月，邯郸人走路的姿势他一种也没有学会，因为每种刚学一点就换另一种了。更糟糕的是，由于他太久没有用自己原来的走路方式了，竟然把自己原来怎么走路都忘记了。最后这个可怜的年轻人既不会邯郸人的步法也不会自己的步法，只好手脚并用爬着回了燕国。,学习别人的长处是好事，但不能盲目模仿、丢掉自己的特长。要在保持自我的基础上取长补短。,故事,趣学成语,新增内容,学别人走路，结果连自己都不会走,邯郸学步,丢了自己，才最得不偿失,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_270f10355422146fd0ad69d01abe5e98.jpg
d3d01caaf53f40ee98b63c08411feb75,4,朝三暮四,成语故事,比喻用手段欺骗人，也比喻反复无常、变来变去。,战国时期，宋国有一个养猴子的老人，人们叫他狙公。他非常喜欢猴子，家里养了一大群猴子。日子久了他不但能听懂猴子的叫声，猴子也能理解他说的话。可是养这么多猴子要花很多钱买食物，狙公的家境越来越困难。于是他想减少猴子们每天吃的橡子数量。他对猴子们说：'从今天开始，我每天早上给你们三颗橡子，晚上给四颗，好不好？'猴子们一听早上只有三颗，都非常生气，呲牙咧嘴地叫了起来，表示不满。狙公连忙改口说：'那好吧好吧，别生气！我换个办法——早上给你们四颗，晚上给三颗，这样行了吧？'猴子们一听早上变成了四颗，比刚才多了一颗，顿时高兴得又蹦又跳。其实呢，不管是朝三暮四还是朝四暮三，总数都是七颗橡子，根本没有任何变化。,看问题要看本质，不要被表面的变化所迷惑。要善于透过现象看清事物的实质，不被花招所骗。,故事,趣学成语,新增内容,猴子被数字骗了，你呢？,朝三暮四,别被表面的变化骗了,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_fb61a8797b3c56d18a9c002c0cef8cb5.jpg
2912963ce773483aac27bb2fea6a5a49,5,杞人忧天,成语故事,比喻不必要的担忧，为不可能发生的事情而焦虑。,古代杞国有一个人，他每天都在担心一件事——天会不会塌下来、地会不会陷下去。他越想越害怕，白天吃不下饭，晚上睡不着觉，整天愁眉苦脸、唉声叹气，身体也越来越瘦弱。他的一个朋友看他这样非常心疼，就来开导他。朋友说：'天就是大气积聚在一起形成的啊，到处都是气体，你每天呼吸、走路、伸胳膊蹬腿，不都是在天里面活动吗？天怎么可能塌下来呢？'这个人又问：'那日月星辰挂在天上，会不会掉下来呢？'朋友说：'日月星辰也是天上的气体在发光，就算掉下来也不会伤到你。'这个人又问：'那地会不会陷下去呢？'朋友说：'地是由土块堆积而成的，到处都是实实在在的土地，你每天在上面走来走去不是好好的吗？地怎么会陷下去呢？'这个人听了终于放下心来，不再担忧了。,不要为不必要的事情过度焦虑和担忧。杞人忧天只会自寻烦恼，遇事要理性分析，不庸人自扰。,故事,趣学成语,新增内容,天不会塌，但你真的不用担心吗？,杞人忧天,天真的会塌下来吗？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9fe85e0003ffe178b1dbf9c963a19bc0.jpg
56ff1bd9bda54301a7dd8d405d641dd7,6,杯弓蛇影,成语故事,比喻疑神疑鬼，自己吓唬自己。,东汉时期，有一位官员请朋友到家里来喝酒。两人坐在客厅里对饮，聊得很开心。朋友端起酒杯正要喝的时候，突然看到酒杯里有一条弯弯曲曲的东西，看起来很像一条蛇。他心里一惊，心想：'天哪，酒杯里怎么会有蛇？'可是碍于面子又不好意思不喝，就硬着头皮把酒喝了下去。回到家后他越想越害怕：'我把蛇也一起喝下去了！'从那以后他就开始恶心、呕吐，觉得肚子里好像真的有条蛇在乱窜。他吃不下饭也睡不好觉，整天提心吊胆，身体越来越差，看了好多医生都治不好。请客的那位朋友听说后来看他，了解了原因后笑着说：'你跟我来，我让你看看那条蛇到底是什么。'他把朋友带到上次喝酒的房间，坐在同样的位置，倒上一杯酒。朋友低头一看——杯中果然又有一条'蛇'。再抬头一看，原来是墙上挂着的一张弓的倒影映在了酒杯里。真相大白，朋友的病立刻就好了。,很多恐惧都是自己想象出来的。遇到疑惑要冷静调查真相，不要疑神疑鬼、自己吓唬自己。,故事,趣学成语,新增内容,酒杯里的蛇竟然是……,杯弓蛇影,酒杯里的蛇，到底从哪来？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1753ae3084b118845e2dda79c446a88b.jpg
5247ce97ca0141908e83c6aec4749394,7,螳螂捕蝉,成语故事,比喻只看到眼前利益而忽略了身后的危险。,春秋时期，吴王准备攻打楚国，并且下了死令说谁反对就杀谁。大臣们虽然都觉得不妥但不敢开口。吴王身边有一个年轻的侍从想了一个巧妙的办法来劝谏。第二天一大早他拿着弹弓在花园里转来转去，露水打湿了他的衣服他也不在乎。连续三天都是如此。吴王好奇地问他在干什么。年轻人说：'大王您看，花园里有一棵大树，树上有一只蝉正在高声歌唱、喝着露水，非常快乐。可是它不知道，在它身后有一只螳螂正举着两把大刀悄悄靠近想要吃掉它。螳螂一心想抓蝉，可它也不知道，在它身后有一只黄雀正伸长了脖子准备啄它。黄雀一心想吃螳螂，可它也不知道我正拿着弹弓瞄准它呢！它们一个个都只顾着眼前的利益，却不知道自己身后也有危险啊。'吴王一听，明白了年轻人的意思，决定取消了攻打楚国的计划。,做事不能只看眼前利益，要瞻前顾后、考虑全局。贪图小利往往会让自己陷入更大的危险之中。,故事,趣学成语,新增内容,只顾眼前猎物，身后危险已至！,螳螂捕蝉,只顾眼前，危险已在身后,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_36731dc0d6f3a97f1f972b15e27aa7e4.jpg
9de843a3d30e4c108654a3a4a00d81f1,8,疑邻盗斧,成语故事,比喻主观成见太强，以主观想法来判断事物。,从前有一个人丢了一把斧头。他在院子里、柴房里、田地里到处找都找不到，心里非常着急。他怀疑是隔壁邻居家的小孩偷了他的斧头。从那以后他就开始注意观察这个孩子的一举一动。他越看越觉得可疑——那孩子走路的姿势鬼鬼祟祟的，好像做贼心虚的样子；那孩子说话的语气吞吞吐吐的，好像在隐瞒什么秘密；那孩子的眼神闪闪躲躲的，好像不敢和人对视。总之在他眼里，这个孩子从头到脚、一言一行都像是一个偷了斧头的小偷。过了几天，这个人到山上去砍柴，无意间在一个山谷的石头缝里发现了自己丢的那把斧头——原来是他上次砍柴的时候自己遗落在那里的。他找到斧头回到家后，再看那个邻居家的孩子，怎么看都不像是小偷了——走路的姿势很正常，说话也很大方，眼神也很坦然。,不要带着主观偏见去看待事物和人。先入为主的想法会扭曲我们的判断，要客观公正地看待问题。,故事,趣学成语,新增内容,丢斧之后，看谁都像贼,疑邻盗斧,心里有了成见，眼睛就会骗你,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_f934b2779b86553f8ca14efc5e99c70d.jpg
2f081c6ff784456985f2ac99c571f9bb,9,削足适履,成语故事,比喻不顾实际情况，强行凑合，生搬硬套。,古代有一个人在集市上看中了一双非常漂亮的鞋子。他喜欢得不得了，二话不说就买了下来。可是回到家里一试穿，才发现这双鞋子太小了，他的脚根本塞不进去。一般人遇到这种情况肯定会回去换一双合脚的鞋子，或者干脆退掉。可是这个人偏偏不这么想，他觉得这双鞋子太漂亮了，舍不得换掉。于是他做出了一个荒唐的决定——与其换鞋子不如把脚变小！他居然拿起一把刀来削自己的脚，硬是要把脚削小到能塞进鞋子里去。结果可想而知，他的脚被削得鲜血直流、疼痛难忍，不但穿不了漂亮鞋子，连正常走路都困难了。,做事要从实际出发，不能本末倒置。应该改变方法来适应实际情况，而非牺牲事实来迁就方法。,故事,趣学成语,新增内容,鞋小了不换鞋，反而削脚？,削足适履,为穿新鞋，他举刀削向脚,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_19c1c539f8fe49bbc9c8885c505cc1b2.jpg
a3ec744a05194cdfbb913316ac6b70b1,10,井底之蛙,成语故事,比喻见识短浅的人，只看到自己头上的一片天。,在一口又深又暗的枯井里，住着一只青蛙。这只青蛙从出生起就一直住在井里，从来没有出去过。它每天的活动就是在井底跳来跳去、在井壁上爬上爬下。抬头看天的时候，它只能看到井口那么大的一片天空。它觉得自己的家又宽敞又舒适，心想：'我的世界多好啊！想跳就在井底跳，想游就在井水里游，想爬就在井壁上爬，自由自在。天就这么大，天下的水就这么多，我觉得很满足了。'有一天，一只来自东海的大鳖路过井边，青蛙得意地向它炫耀自己的家。大鳖听完后说：'你知道东海有多大吗？用千里来量都量不完它的宽度，用千尺来量都量不完它的深度。即使发了十年大洪水海水也不见涨多少，即使大旱十年海水也不见少多少。住在大海里那才叫真正的快乐呢！'青蛙听了惊得目瞪口呆。,不要做井底之蛙。要走出自己的小天地，见识更广阔的世界，才能开阔眼界、拓宽格局。,故事,趣学成语,新增内容,井口大的天就是全世界？,井底之蛙,走出去，天比想象的大,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_fd311ed109cee379d2be8cd6c54d0160.jpg
6c03c957b8de4e6ebadfcd3ace4bae7f,11,画饼充饥,成语故事,比喻用空想来安慰自己，不能解决实际问题。,从前有一个人肚子饿得咕咕叫，可是身上没有钱、家里也没有食物。他饿得头昏眼花、四肢无力，坐在地上发呆。他想啊想啊，突然灵机一动，找来一根树枝在地上画了一张又大又圆的烙饼。他把这张'饼'画得非常逼真——金黄色的饼面、酥脆的边缘，还画上了热腾腾的蒸汽和香喷喷的芝麻。画完以后他就盯着地上的烙饼看，想象着自己正在吃这张香喷喷的大饼，嘴巴还不由自主地嚼了几下。他幻想着饼的香味飘进了鼻子，幻想着咬一口饼的那种满足感。可是幻想归幻想，画出来的饼终究是画在地上的，他看了半天、想了半天肚子还是饿得咕咕叫，一点也没有饱的感觉。因为画出来的饼是假的，不能真的拿来填饱肚子啊！,空想解决不了实际问题。遇到困难要采取实际行动，而不是靠幻想来自我安慰和自我欺骗。,故事,趣学成语,新增内容,画个大饼就不饿了？,画饼充饥,地上画个饼，肚子就能饱？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2d072689522225a1d2f00e06cecd2701.jpg
f247da880a1d42bab01af0b2cc86fbe9,12,一叶障目,成语故事,比喻被局部的表象所蒙蔽，看不到事物的全貌和本质。,楚国有一个穷书生，有一天他在一本古书上读到一段话说：'螳螂在捕蝉的时候，会用一片叶子遮住自己的身体，这样就能隐身让蝉看不到自己。'这个书生兴奋极了，心想：'如果我能找到这样一片叶子，不就可以隐身了吗？那我就能想要什么就拿什么了！'于是他跑到树林里找了好几天，终于找到一只螳螂正用一片叶子遮着身子捕蝉。他高兴地把那片叶子摘下来，举在自己眼前。然后他问妻子：'你能看到我吗？'妻子说：'当然看到了。'他换个角度再举，又问：'现在呢？'妻子被问烦了随口说：'看不到了。'书生如获至宝，拿着叶子跑到集市上，举着叶子挡在脸前就去拿别人摊位上的东西。结果当场就被人家抓住了，送到县衙审讯。县令听了他的理由后笑得不行，最后看他实在愚蠢就放了他。,不要被片面的信息或表象所蒙蔽。看问题要全面客观，盲信书本、自欺欺人只会闹笑话。,故事,趣学成语,新增内容,一片树叶就能让人隐身？,一叶障目,一片树叶，真能让人隐身？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_82c5e6c4ca1cec4069d0f6bb92ae0843.jpg
7b2f1416e2734ad597d2c5ee2a025a7d,13,纸上谈兵,成语故事,比喻空谈理论，不能解决实际问题，不联系实际。,战国时期赵国有一位大将军叫赵奢，他英勇善战，立下过赫赫战功。赵奢的儿子赵括从小就熟读兵书，对各种军事理论和作战策略倒背如流。每次谈论起军事问题来头头是道、口若悬河，就连他的父亲赵奢有时候在理论辩论上都说不过他。但是赵奢并不因此高兴，反而忧心忡忡地对妻子说：'打仗是关乎生死存亡的大事，括儿却把它说得如此轻松简单。他只会纸上谈兵，没有实战经验，如果将来让他指挥军队必定要吃大亏。'后来秦赵在长平交战，赵王不顾众人反对让赵括代替老将廉颇担任主帅。赵括到了前线后完全按照兵书上的理论来指挥作战，不懂得根据战场上的实际情况灵活变通。结果被秦将白起设下埋伏包围，四十万赵军全军覆没，赵括自己也战死沙场。,理论必须和实践相结合。只会纸上谈兵而不懂实际操作是危险的，真正的能力来自于实践经验。,故事,趣学成语,新增内容,兵书倒背如流，上战场却不行,纸上谈兵,兵书倒背如流，就能打胜仗？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_167ea12f55eafb2a76815bffa8048ffe.jpg
068cf50285264331b191a381afcbff45,14,高山流水,成语故事,比喻知音难觅，知己之间心意相通的深厚友情。,春秋时期，楚国有一位叫俞伯牙的人，他的琴弹得非常好，当时几乎无人能比。可是他总觉得缺少一个真正能听懂自己琴声的人。有一天伯牙在山间弹琴，一个叫钟子期的樵夫路过。伯牙弹琴时心中想着巍峨的高山，子期听了赞叹说：'好啊，巍峨高耸就像泰山一样！'伯牙心中又想着流水，子期又说：'好啊，浩浩荡荡就像江河一样！'不管伯牙心中想什么，子期都能准确无误地听出来。伯牙激动万分，终于找到了一位真正理解自己的知音啊！两人结为挚友，约定来年再相见。可惜一年后伯牙如约前来时却得知子期已经去世了。伯牙悲痛欲绝，他来到子期的坟前弹奏了最后一曲，然后将心爱的琴摔碎在子期墓前，从此终身不再弹琴，因为世上再没有人配听他的琴声了。,知音难得，真正理解自己的人非常珍贵。要珍惜身边懂你的人，珍重难得的真挚友情。,故事,趣学成语,新增内容,琴声里藏着的知音，千金难求,高山流水,懂你的人，比千金还难得,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d28b8bd55aeadd8ba471bbd39d7281c8.jpg
bafff03095a7498791fda024da149724,15,鹏程万里,成语故事,比喻前程远大，未来充满无限可能。,庄子在他的名篇《逍遥游》中描写了一种叫鹏的巨鸟。在遥远的北海深处有一条巨大无比的鱼叫鲲，它的身体有好几千里长。有一天这条大鱼化身为一只巨大的鸟叫鹏。鹏的背就像泰山一样宽广，它的翅膀张开来就像遮天蔽日的巨大云彩。当大风来临的时候，鹏振翅高飞，翅膀拍打出来的气流卷起三千丈高的巨浪。它乘着旋风盘旋而上，飞到九万里的高空之上。从那么高的地方往下看，地面上的一切都变得渺小如蝼蚁。然后大鹏鸟从北海起飞，向着南方的天池飞去——它的目标是万里之遥的南海。途中那些小鸟小雀看到大鹏飞得那么高那么远，嘲笑说：'何必飞那么远呢？我们在树枝间飞来飞去不也挺好的吗？'可它们又哪里能理解大鹏鸟的鹏程万里之志呢？,人要有远大的抱负和志向，像大鹏鸟一样志存高远、展翅高飞。格局决定了人生的高度。,故事,趣学成语,新增内容,大鹏一飞就是几万里,鹏程万里,志向有多大，天地就有多宽,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1f94662537d8d4e5ef1656f21c741a1d.jpg
f5e2f88a405e4110bea9d3a20a434338,16,守株待兔,成语故事,比喻不主动努力，心存侥幸，希望得到意外的收获。,战国时期，宋国有一个农夫，每天都在田里辛勤劳作。有一天，他正在田间干活，突然一只兔子从远处飞快地跑来，一头撞在田边的一个树桩上，当场撞断脖子死了。农夫白白捡了一只又肥又大的兔子，高兴极了。他把兔子带回家美美地吃了一顿，心想：'要是每天都能捡到一只兔子该多好啊！何必辛辛苦苦种庄稼呢？'从第二天开始，这个农夫就放下了锄头，整天坐在那个树桩旁边，眼巴巴地等着再有兔子来撞死。他等了一天又一天，日子一天天过去了，再也没有兔子来撞树桩。他的田地因为长期没人打理，杂草丛生，庄稼全都荒废了。到了秋天，别人家都在收获粮食，他却两手空空，既没等到兔子，也没了庄稼，成了宋国人的笑话。,不能把偶然发生的事当作常规。不劳而获的想法是不可取的，只有踏踏实实努力才能有收获。,故事,趣学成语,新增内容,等兔子撞树？别做梦了！,守株待兔,坐着等，就能天天捡兔子？,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ba5f724720300cfd3c48fa3a375954b7.jpg
