GUID,学科,版本,年级,书本册,单元序号,单元名称,在单元内的序号,课文标题,朝代,作者,课文原文,内容类型,教材注释,教材问题或练习,教案,"是否是红色主题内容
（国家领导、抗日英雄等）"
,语文,部编版,一年级,下册,4,第四单元,5,第四单元-单元例句,/,/,\n\n剥开粽叶，咬一口粽子，真是又黏又甜。\n\n天一黑就不敢往外瞧。,单元例句,/,/,【目标】掌握“又…又…”“一…就…”句式。【过程】1.出示粽子图，问口感引“又黏又甜”。2.精讲“一…就…”表条件触发，对比仿说。3.用句式描述日常物品/心情。4.小结积累生动表达。,否
,语文,部编版,一年级,下册,4,第四单元,6,语文园地四-日积月累-成语,/,/,\n\n尊老爱幼    其乐融融 \n\n血浓于水   手足情深 \n\n同心协力    同甘共苦 \n\n天伦之乐    欢聚一堂,语文园地,/,/,【目标】理解亲情类成语，涵养家庭美德。【过程】1.全家福图片导入。2.拆解“其乐融融”等词义，结合生活举例。3.情境选词填空。4.齐读背诵，倡导孝亲敬老。,否
,语文,部编版,一年级,下册,5,第五单元,6,语文园地五-日积月累-歇后语,/,/,\n\n芝麻开花 —— 节节高 \n\n竹篮打水 —— 一场空 \n\n十五个吊桶打水 —— 七上八下,语文园地,/,/,【目标】认识歇后语结构，体会民间智慧。【过程】1.猜谜游戏导入。2.析“前半比喻+后半释义”规律，重点讲“七上八下”表心理。3.看图猜歇后语。4.小结俗语趣味性。,否
,语文,部编版,一年级,下册,6,第六单元,7,第六单元-单元例句,/,/,他一边跑一边喊：“妈妈，妈妈，要下雨了！”,单元例句,/,/,【目标】掌握“一边…一边…”表同时动作。【过程】1.动作演示导入。2.精讲关联词连接两个并行活动，体会画面感。3.做动作仿说句子。4.小结句式让叙述更连贯。,否
,语文,部编版,一年级,下册,6,第六单元,8,语文园地六-日积月累-谚语,/,/,\n\n朝霞不出门，\n\n晚霞行千里。\n\n有雨山戴帽，\n\n无雨半山腰。\n\n早晨下雨当日晴，\n\n晚上下雨到天明。\n\n蚂蚁搬家蛇过道，\n\n大雨不久要来到。,语文园地,/,/,【目标】积累气象谚语，了解自然规律。【过程】1.问天气变化导入。2.逐句释义，点明“朝霞/晚霞/蚂蚁”与天气关联。3.图文匹配练习。4.小结观云识天智慧。,否
,语文,部编版,一年级,下册,7,第七单元,6,第七单元-单元例句,/,/,贝贝一回到家，就向妈妈要新的铅笔、新的橡皮。\n\n他叹了口气，说：“要是早一分钟就好了。”,单元例句,/,/,【目标】掌握“一…就…”“要是…就…”句式。【过程】1.情境朗读。2.对比两例句：前者表习惯/必然，后者表假设/后悔。3.创设情境仿写。4.小结关联词精准达意。,否
,语文,部编版,一年级,下册,7,第七单元,7,语文园地七-日积月累-名言警句,/,/,\n\n不知则问，不能则学。——《荀子》\n\n一日无书，百事荒芜。—— 陈寿\n\n读万卷书，行万里路。—— 董其昌,语文园地,/,/,【目标】理解勤学名言，激发读书兴趣。【过程】1.问“为什么读书”导入。2.逐句串讲，联系“学贵有疑”“知行合一”。3.制作书签写名言。4.小结以书为友。,否
,语文,部编版,二年级,下册,2,第二单元,6,第二单元-单元例句,/,/,”\n\n“要是你谁也保护不了，那你就是最弱小的。”\n\n与其锦上添花，不如雪中送炭。\n\n故事里的儿童，有的顽皮、可爱，有的懂事、善良；有的过着平淡温馨的生活，有的会有意想不到的奇遇……,单元例句,/,/,【目标】理解“弱小/雪中送炭”，感知儿童形象。【过程】1.分角色朗读。2.解析谚语对比，体会“雪中送炭”可贵。3.结合课文简述儿童特点。4.小结品读人物品质。,否
,语文,部编版,二年级,下册,2,第二单元,7,语文园地二-日积月累-谚语,/,/,\n\n予人玫瑰，手有余香。 \n\n平时肯帮人，急时有人帮。\n\n与其锦上添花，不如雪中送炭。,语文园地,/,/,【目标】积累助人谚语，培养互助品格。【过程】1.故事《盲人提灯》导入。2.精讲“余香”“急时”“不如”深层义。3.讨论班级互助实例。4.齐诵践行。,否
,语文,部编版,二年级,下册,3,第三单元,6,语文园地三-日积月累-十二生肖,/,/,"\n\n子鼠；丑牛；寅虎；卯兔
\n\n辰龙；巳蛇；午马；未羊
\n\n申猴；酉鸡；戌狗；亥猪",语文园地,/,/,【目标】识记十二生肖与地支对应。【过程】1.唱童谣导入。2.图文配对讲解“子鼠丑牛”顺序规律。3.快速接龙游戏。4.小结传统文化传承。,否
,语文,部编版,二年级,下册,4,第四单元,6,第四单元-单元例句,/,/,\n\n我有一大把彩色的梦，有的长，有的圆，有的硬。\n\n我看见喜鹊阿姨站在窝边，一会儿教喜鹊弟弟唱歌，一会儿教他们做游戏，一会儿教他们学自己发明的拼音字母……,单元例句,/,/,【目标】掌握“有的…有的…”“一会儿…一会儿…”排比句式。【过程】1.展示彩梦图。2.析句式表列举与连续动作，体会童趣。3.仿写“课间活动”。4.小结句式丰富表达。,否
,语文,部编版,二年级,下册,4,第四单元,7,语文园地四-日积月累-名言警句,/,/,\n\n失信不立。——《左传》\n\n诚信者，天下之结也。——《管子》\n\n小信成则大信立。——《韩非子》,语文园地,/,/,【目标】理解诚信名言，树立守信意识。【过程】1.讲《曾子杀猪》导入。2.串讲《左传》《管子》《韩非子》核心义。3.辨析生活失信行为。4.小结“无信不立”。,否
,语文,部编版,二年级,下册,5,第五单元,6,第五单元-单元例句,/,/,\n\n他回到家里，一边大口喘气一边说：“今天可把我累坏了！”\n\n原来河水既不像老牛说的那样浅，也不像松鼠说的那样深。,单元例句,/,/,【目标】掌握“一边…一边…”“既…也…”句式。【过程】1.情境体验“累”。2.精讲关联词表并列与转折判断（结合《小马过河》）。3.用句式描述实验现象。4.小结逻辑表达。,否
,语文,部编版,二年级,下册,5,第五单元,7,语文园地五-日积月累-弟子规（节选）,/,/,\n\n冠必正，纽必结，袜与履，俱紧切。置冠服，有定位，勿乱顿，致污秽。\n\n唯德学，唯才艺，不如人，当自砺。若衣服，若饮食，不如人，勿生戚。,语文园地,/,/,【目标】理解行为规范，养成良好习惯。【过程】1.正衣冠导入。2.逐句译解“冠服定位”“德学自砺”，对比古今。3.情景判断对错。4.小结知行合一。,否
,语文,部编版,二年级,下册,6,第六单元,9,第六单元-单元例句,/,/,\n\n闪电越来越亮，雷声越来越响。\n\n要是你能认出它，就不会在黑夜里乱闯。\n\n因为水处于失重状态，即使把杯子倒过来，水也不会往下流。,单元例句,/,/,【目标】掌握“越来越…”“要是…就…”“即使…也…”。【过程】1.模拟雷雨场景。2.析程度加深、条件假设、让步关系。3.看自然现象造句。4.小结关联词层次。,否
,语文,部编版,二年级,下册,7,第七单元,8,第七单元-单元例句,/,/,\n\n有虫子来的话，大象只要把他的大耳朵一扇，就能把他们赶跑。\n\n既不会唱，也不会跑，更不会飞。,单元例句,/,/,【目标】掌握“只要…就…”“既…也…更…”递进句式。【过程】1.模仿动物动作导入。2.析条件与能力递进关系，体会否定式强调。3.描述动物特长。4.小结句式逻辑。,否
,语文,部编版,二年级,下册,8,第八单元,6,第八单元-单元例句,/,/,\n\n李时珍不但注意积累为人治病的经验，还坚持到各地去采药。\n\n运东西也只能依靠人力，既不方便，又很辛苦。,单元例句,/,/,【目标】学习“不但…还…”“既…又…”句式，体会人物精神。【过程】1.出示李时珍采药图。2.精讲关联词表递进与并列，突出辛苦。3.仿写科学家事迹。4.小结严谨治学。,否
,语文,部编版,三年级,下册,1,第一单元,8,第一单元-单元例句,/,/,有的瓢虫吃蚜虫，是益虫；有的瓢虫吃马铃薯嫩叶，是害虫。,单元例句,/,/,【目标】掌握“有的……；有的……”分类说明句式。【过程】1.出示瓢虫图片。2.析“分号”用法与益害分类逻辑。3.给其他昆虫分类造句。4.小结说明文严谨性。,否
,语文,部编版,三年级,下册,2,第二单元,9,第二单元-单元例句,/,/,\n\n他的马越好，车夫的本领越大，盘缠带得越多，走得越远，就越到不了楚国。\n\n狼装出一副又老实又可怜的模样……\n\n只要伸下一条腿来，我就得救了。,单元例句,/,/,【目标】理解寓言寓意，掌握神态描写与条件句。【过程】1.猜寓言导入。2.析“又老实又可怜”反衬手法，“只要…就…”表唯一条件。3.角色扮演读句。4.小结寓言讽刺性。,否
,语文,部编版,三年级,下册,2,第二单元,10,语文园地二-日积月累-成语,/,/,\n\n掩耳盗铃    杞人忧天    邯郸学步\n\n自相矛盾    刻舟求剑    滥竽充数\n\n井底之蛙    杯弓蛇影    画蛇添足,语文园地,/,/,【目标】积累寓言成语，理解深层寓意。【过程】1.看图猜成语。2.精讲“自相矛盾”“刻舟求剑”故事内核。3.情境匹配适用场景。4.小结借古讽今智慧。,否
,语文,部编版,三年级,下册,3,第三单元,5,第三单元-单元例句,/,/,\n\n尽管它们逆风而飞，沿途都是一些陌生的景物，但它们真的飞回来了。\n\n石蜂确实靠的不是记忆力，而是一种我无法解释的特殊的能力。,单元例句,/,/,【目标】掌握“尽管…但…”转折句，体会科学精神。【过程】1.问蜜蜂如何回家导入。2.析“陌生景物”与“飞回”对比，悟“特殊能力”指方向感。3.仿写观察记录。4.小结质疑求证。,否
,语文,部编版,三年级,下册,4,第四单元,7,第四单元-单元例句,/,/,\n\n这种设计……既减轻了流水对桥身的冲击力……又减轻了桥身的重量……\n\n这座桥不但坚固，而且美观。\n\n有的刻着两条相互缠绕的龙……有的刻着两条飞龙……还有的刻着双龙戏珠。,单元例句,/,/,【目标】掌握并列、递进、排比句式。【过程】1.出示赵州桥图。2.析关联词与排比在说明文中的作用。3.仿写介绍校园建筑。4.小结结构严谨。,否
,语文,部编版,三年级,下册,5,第五单元,6,第五单元-单元例句,/,/,\n\n只要看看胡萝卜先生走了多长的路，就可以知道他的这根胡子已经长了多长了。\n\n如果你害怕不小心把眼镜摔了，就在眼镜腿上系一根绳子……,单元例句,/,/,【目标】掌握“只要…就…”“如果…就…”条件假设句。【过程】1.展示长胡子图。2.析假设与条件的逻辑关联，体会童话夸张。3.创编生活小妙招句子。4.小结想象合理性。,否
,语文,部编版,三年级,下册,6,第六单元,6,第六单元-单元例句,/,/,\n\n是那么圆满，那么自由，那么透明，那么美丽。\n\n如果我忘记了这件事……但我已经想起来了，就不能失信了！,单元例句,/,/,【目标】掌握“那么…那么…”排比与“如果…就…”假设。【过程】1.吹肥皂泡体验导入。2.析排比强化美感，转折突出诚信底线。3.用句式描写自然景物。4.小结抒情与说理结合。,否
,语文,部编版,三年级,下册,6,第六单元,7,语文园地六-日积月累-名言警句,/,/,"\n\n见善则迁，有过则改。
——《周易》\n\n过而不改，是谓过矣。——《论语》\n\n

人谁无过？过而能改，善莫大焉。
——《左传》",语文园地,/,/,【目标】理解改过自新名言，培养自省习惯。【过程】1.讲《负荆请罪》导入。2.串讲《周易》《论语》《左传》核心：知错能改。3.写“自省小卡片”。4.小结善莫大焉。,否
,语文,部编版,三年级,下册,7,第七单元,5,第七单元-单元例句,/,/,\n\n这地方的火烧云变化极多，一会儿红彤彤的，一会儿金灿灿的，一会儿半紫半黄，一会儿半灰半百合色。\n\n只要我们仔细地观察、寻找，就能从极普通的事物中找到美……,单元例句,/,/,【目标】积累色彩词，掌握“一会儿…一会儿…”与观察方法。【过程】1.观火烧云图片。2.析颜色词组合规律，提炼“仔细观察找美”。3.仿写日出云霞变化。4.小结留心生活。,否
,语文,部编版,三年级,下册,8,第八单元,5,第八单元-单元例句,/,/,无论在秋天、夏天还是春天穿一件棉袄，人家都会笑话您的。,单元例句,/,/,【目标】掌握假设句，理解常识逻辑。【过程】1.四季穿衣图导入。2.析“无论…都…”表无条件，点明违背常识的后果。3.判断生活常识正误。4.小结说话合乎逻辑。,否
,语文,部编版,三年级,下册,8,第八单元,6,语文园地八-日积月累-成语,/,/,"\n\n兵来将挡，水来土掩。
\n\n不入虎穴，焉得虎子。
\n\n眼见为实，耳听为虚。
\n\n近朱者赤，近墨者黑。",语文园地,/,/,【目标】理解应对策略成语，提升应变能力。【过程】1.情境挑战导入。2.精讲四组成语表因地制宜、实践出真知等。3.故事匹配成语。4.小结智慧处世。,否
,语文,部编版,四年级,下册,1,第一单元,9,第一单元-单元例句,/,/,\n\n即使附近的石头上有妇女在捣衣，它们也从不吃惊。”\n\n乡下人家，不论什么时候，不论什么季节，都有一道独特、迷人的风景。\n\n夏天阵雨来了时，孩子们顶喜欢在雨里跑跳……然而大人们偏就不许。,单元例句,/,/,【目标】掌握“即使…也…”“不论…都…”让步句式，体会景物描写。【过程】1.田园风光图导入。2.析关联词突出乡下人家“自然和谐”。3.仿写校园一角。4.小结情景交融。,否
,语文,部编版,四年级,下册,2,第二单元,7,第二单元-单元例句,/,/,鸟类不仅和恐龙有亲缘关系，而且很可能就是一种小型恐龙的后裔。\n\n冰箱里如果使用一种纳米涂层，就会具有杀菌和除臭功能……,单元例句,/,/,【目标】掌握“不仅…而且…”“如果…就…”递进与假设句。【过程】1.恐龙化石/纳米图导入。2.析科普说明文关联词逻辑，体会科技改变生活。3.用句式介绍小发明。4.小结科学严谨。,否
,语文,部编版,四年级,下册,3,第三单元,5,语文园地三-日积月累-名言警句,/,/,\n\n诗和音乐一样，生命全在节奏。 —— 朱光潜 \n\n诗是人类向未来所寄发的信息，诗给人类以朝向理想的勇气。 —— 艾青 \n\n诗是强烈感情的自然流露，它源于宁静中回忆起来的情感。 ——[英国] 华兹华斯,语文园地,/,/,【目标】理解诗歌理论名言，提升文学鉴赏力。【过程】1.配乐诗朗诵导入。2.串讲朱光潜（节奏）、艾青（理想）、华兹华斯（情感）核心观点。3.分享最爱诗句。4.小结诗以言志。,否
,语文,部编版,四年级,下册,5,第五单元,6,第五单元-单元例句,/,/,\n\n有时太阳走进了云堆中……有时天边有黑云……然而太阳在黑云里放射的光芒……\n\n无论花朵还是叶子，都比盆栽的杜鹃显得有精神。\n\n即使不比作什么，也很值得观赏。\n\n虽然天山这时并不是春天，但是有哪一个春天的花园能比得过这时天山的无边繁花呢？,单元例句,/,/,【目标】掌握多组关联词表条件、转折、让步，强化景物独特性。【过程】1.对比四季风光导入。2.析关联词层层递进写美景。3.仿写游记片段。4.小结语言张力。,否
,语文,部编版,四年级,下册,6,第六单元,8,第六单元-单元例句,/,/,\n\n两双鞋，既像四只鸟窝，又像两对鸟。\n\n虽然他已经是十二岁的孩子了，但是在妈妈眼里，他还是个小孩子。。\n\n先将上等的芦花采回来，然后将它们均匀地搓进草绳里，再编织成鞋。,单元例句,/,/,【目标】掌握“既…又…”“虽然…但是…”“先…然后…再…”句式。【过程】1.芦花鞋实物导入。2.析比喻生动性、转折强调成长、顺序词表条理。3.用顺序词写手工过程。4.小结叙事条理。,否
,语文,部编版,四年级,下册,7,第七单元,9,第七单元-单元例句,/,/,\n\n如果不很快摧毁这个火力点……已经夺得的那些山头就会全部丢失。\n\n事情总是这样，哪里有可鄙的利己主义，哪里也会有悲壮的舍己救人。,单元例句,/,/,【目标】掌握“如果…就…”“哪里…哪里也…”假设与条件句，体会革命精神。【过程】1.英雄事迹导入。2.析关联词表战局危急与人性光辉对比。3.朗读体会情感。4.小结舍己为人。,否
,语文,部编版,四年级,下册,7,第七单元,10,语文园地七-日积月累-名言警句,/,/,\n\n天行健，君子以自强不息。 ——《周易》\n\n胜人者有力，自胜者强。 ——《老子》\n\n不怨天，不尤人。 ——《论语》\n\n生于忧{huàn}（患）而死于安乐。 ——《孟子》,语文园地,/,/,【目标】理解自强修身名言，树立君子品格。【过程】1.历史人物故事导入。2.串讲《周易》《老子》《论语》《孟子》核心内涵。3.联系实际谈自立。4.小结刚健有为。,否
,语文,部编版,四年级,下册,8,第八单元,5,第八单元-单元例句,/,/,\n\n假如我有这么一个，那就省心了。\n\n不管张三也好，李四也好，一得到了这个宝葫芦，可就幸福极了……\n\n只要水轻微地流动一下，它们就摇动起来，好像活的一样。\n\n如果不是一条鲸鱼从她上面游过，就是一条装载着许多旅客的船在航行。,单元例句,/,/,【目标】掌握“假如…就…”“不管…都…”“只要…就…”想象与条件句。【过程】1.童话《宝葫芦》导入。2.析关联词构建奇幻情境，体会愿望与现实逻辑。3.创编微型童话句。4.小结想象边界。,否
,语文,部编版,四年级,下册,8,第八单元,6,语文园地八-日积月累-名言警句,/,/,\n\n少年不知勤学苦，老来方知读书迟。\n\n一日读书一日功，一日不读十日空。\n\n学习不怕根底浅，只要迈步总不迟。\n\n书山有路勤为径，学海无涯苦作舟。,语文园地,/,/,【目标】理解勤学名言，培养终身学习观。【过程】1.古人苦读图导入。2.精讲四句强调“惜时、坚持、起步、勤奋”四维。3.制定个人读书计划。4.小结勤能补拙。,否
,语文,部编版,五年级,下册,1,第一单元,9,第一单元-单元例句,/,/,\n\n祖父浇菜，我也过来浇，不是往菜上浇，而是拿着水瓢……把水往天空一扬\n\n虽然热带是无所谓隆冬的，但腊月天气，毕竟也凉飕飕的。,单元例句,/,/,【目标】掌握“不是…而是…”转折句与环境烘托。【过程】1.《祖父的园子》片段朗读。2.析“不是…而是…”突出童真顽皮，体会“凉飕飕”反衬。3.仿写童年趣事。4.小结细节传情。,否
,语文,部编版,五年级,下册,4,第四单元,11,第四单元-单元例句,/,/,这么重的伤势，只有军人才能这样从容镇定！,单元例句,/,/,【目标】掌握“只有…才…”条件句，体会侧面描写。【过程】1.刘伯承手术图导入。2.析“重伤势”与“从容镇定”对比，悟侧面烘托军人意志。3.用句式赞英雄。4.小结意志如钢。,否
,语文,部编版,五年级,下册,6,第六单元,5,第六单元-单元例句,/,/,\n\n孩子只要一失足，直摔到甲板上就没命了。\n\n即使他走到横木那头拿到了帽子，也难以回转身来。,单元例句,/,/,【目标】掌握“只要…就…”“即使…也…”递进假设，体会紧张氛围。【过程】1.《跳水》情节回顾。2.析关联词层层推进险情，突出千钧一发。3.朗读指导（语速加快）。4.小结环境渲染。,否
,语文,部编版,五年级,下册,6,第六单元,6,语文园地六-日积月累-年龄雅称,/,/,\n\n豆蔻年华：指女子十三四岁的年纪。\n\n及笄：指女子年满十五岁。\n\n弱冠：指男子二十岁左右的年纪。\n\n而立：指人三十岁。\n\n不惑：指人四十岁。\n\n花甲：指人六十岁。\n\n古稀：指人七十岁。\n\n期颐：指人一百岁。,语文园地,/,/,【目标】识记年龄雅称，弘扬尊老文化。【过程】1.生日蛋糕图导入。2.串讲豆蔻至期颐典故，点明古代礼仪。3.连线匹配年龄与称谓。4.小结生命礼赞。,否
,语文,部编版,五年级,下册,7,第七单元,7,第七单元-单元例句,/,/,不管出于什么考虑，我认为都是绝妙的。,单元例句,/,/,【目标】掌握“不管…都…”让步句，体会严密逻辑。【过程】1.辩论赛情境导入。2.析关联词表无条件认可，体会议论文说服力。3.用句式表达坚定观点。4.小结逻辑严密。,否
,语文,部编版,五年级,下册,8,第八单元,5,第八单元-单元例句,/,/,\n\n无名指和小指……然而，能力薄弱也无过于他们了。\n\n他的工作虽不如大拇指吃力，却比大拇指复杂。\n\n只要双脚一点，轻轻跃起，就能离开地面飞向空中。,单元例句,/,/,【目标】掌握“然而…”“只要…就…”转折与条件句。【过程】1.手部动作演示导入。2.析拟人手法与转折对比，突出各司其职。3.仿写五官对话。4.小结团结共生。,否
,语文,部编版,五年级,下册,8,第八单元,6,语文园地八-日积月累-名言警句,/,/,\n\n君子喻于义，小人喻于利。 ——《论语》\n\n君子坦荡荡，小人长戚戚。 ——《论语》\n\n恻隐之心，仁之端也。 ——《孟子》\n\n多行不义，必自毙。 ——《左传》\n\n人有耻，则能有所不为。 ——《朱子语类》,语文园地,/,/,【目标】理解义利观与修身名言，树立正确价值观。【过程】1.古今义利故事对比导入。2.串讲《论语》《孟子》《左传》《朱子》核心：重义、坦荡、仁爱、知耻。3.情境辨析。4.小结君子之风。,否
,语文,部编版,六年级,下册,1,第一单元,9,第一单元-单元例句,/,/,\n\n孩子们喜欢吃这些零七八碎儿，即使没有饺子吃，也必须买杂拌儿。\n\n不同的地方不仅有不同的节日风俗，还有各具特色的艺术样式。,单元例句,/,/,【目标】掌握“即使…也…”“不仅…还…”递进句，体会民俗风情。【过程】1.春节庙会导入。2.析关联词突出年味浓厚与地域特色。3.介绍家乡习俗。4.小结文化多样性。,否
,语文,部编版,六年级,下册,2,第二单元,5,第二单元-单元例句,/,/,\n\n在这种情况下，即使找到小狐仙，可能也没有多大用处。\n\n如果他现在一松手，肯定就会掉到地上摔死。\n\n他每天要么拿着枪，带着狗到森林里去打猎，要么到海边去捕鱼……\n\n尽管我收罗了这么多东西，还是缺少许多……,单元例句,/,/,【目标】掌握多重复句（假设/选择/转折），体会荒岛求生逻辑。【过程】1.荒岛求生图导入。2.析关联词表生存抉择与心理活动。3.梳理情节复述。4.小结语言缜密。,否
,语文,部编版,六年级,下册,3,第三单元,6,第三单元-单元例句,/,/,母亲买菜回来却又翻箱倒柜忙开了。,单元例句,/,/,【目标】掌握“...却...”转折和细节描写“翻箱倒柜”，体会人物心理。【过程】1.《那个星期天》片段朗读。2.析动作词折射母亲忙碌与“我”的失落。3.仿写等待场景。4.小结以动写心。,否
,语文,部编版,六年级,下册,4,第四单元,14,第四单元-单元例句,/,/,\n\n因为我们是为人民服务的，所以，我们如果有缺点，就不怕别人批评指出。\n\n只要你说得对，我们就改正。,单元例句,/,/,【目标】掌握“因为…所以…”“只要…就…”因果与条件句，体会议论文逻辑。【过程】1.《为人民服务》金句朗读。2.析关联词构建“接受批评”严密论证。3.微辩论练习。4.小结理性表达。,否
,语文,部编版,六年级,下册,4,第四单元,15,语文园地四-日积月累-名言警句,/,/,\n\n有意栽花花不发，无心插柳柳成荫。\n\n良药苦口利于病，忠言逆耳利于行。\n\n树欲静而风不止，子欲养而亲不待。\n\n常将有日思无日，莫把无时当有时。\n\n书到用时方恨少，事非经过不知难。,语文园地,/,/,【目标】理解人生哲理名言，提升处世智慧。【过程】1.生活案例导入。2.精讲五句哲理：偶然、忠言、孝道、节俭、实践。3.写感悟随笔。4.小结知行合一。,否
,语文,部编版,六年级,下册,5,第五单元,8,第五单元-单元例句,/,/,\n\n只要你见微知著，善于发问并不断探索，那么，当你解决了若干个问题之后，就有可能发现真理。\n\n如果你不喜欢书里说的这些事，你就干脆别读这本书。\n\n越不许我动，我越想动，但是我又不敢，因此很痛苦。,单元例句,/,/,【目标】掌握条件、假设、程度递进句式，体会科学精神。【过程】1.科学家发现故事导入。2.析关联词逻辑链，提炼“见微知著”。3.提出生活疑问。4.小结探索不止。,否
,语文,部编版,六年级,下册,5,第五单元,9,语文园地五-日积月累-名言警句,/,/,\n\n穷则变，变则通，通则久。——《周易》\n\n 苟日新，日日新，又日新。——《礼记》\n\n青，取之于蓝，而青于蓝。——《荀子》\n\n 苟利于民，不必法古；苟周于事，不必循旧。——《淮南子》,语文园地,/,/,【目标】理解创新变革名言，培养求新思维。【过程】1.科技革新图导入。2.串讲《周易》《礼记》《荀子》《淮南子》核心：变通、日新、超越、利民。3.谈学习创新法。4.小结与时俱进。,否
,语文,部编版,六年级,下册,6,第六单元,6,第六单元-单元例句,/,/,\n\n我写作不是我有才华，而是我有感情。\n\n他们一旦碰了钉子，走了弯路，就开始怀疑自己是否有研究才能。,单元例句,/,/,【目标】掌握“不是…而是…”“一旦…就…”转折与条件句，体会创作观。【过程】1.作家谈创作导入。2.析关联词强调“真情实感”重于技巧，及挫折心理。3.分享写作心得。4.小结文以载道。,否
